X1,X2,X3,X4,X5,X6,X7,X8,X9,Y,S
10.5208806,-0.327583866,4.429606843,1,0,0,1.233668935,2.292960293,-1.511229276,0,0
2.272689339,7.486775712,4.070783914,0,1,1,0.18150776,-1.801232822,0.215764369,0,0
8.40546277,6.063535817,5.584571792,0,0,1,6.476188441,0.05667253,2.906617809,0,0
1.789594267,0.813264321,6.680389222,0,1,1,0.85215131,0.604758531,0.099130925,0,0
2.465814576,5.385547462,6.562413552,0,1,1,-2.025082137,0.409343698,1.545404408,0,0
8.331529946,5.575759291,0.156065617,0,1,0,0.732910674,-0.766078996,2.827770756,1,0
8.541710356,8.450727324,1.183407982,0,1,1,0.10205431,-1.431630682,-2.730338917,0,0
2.053120117,4.046126159,8.044923215,0,1,1,0.427818961,-2.16280762,1.820232888,0,0
2.549379328,8.615530163,4.280978742,1,0,1,0.726754178,2.064315754,-0.026771029,0,0
-0.194665315,7.558062574,5.660455419,1,0,1,-0.42290384,-1.228985703,-2.922153325,0,0
2.868411241,7.440818109,-0.311008116,0,0,1,-0.266178322,0.456879034,3.522576852,1,0
2.405690429,6.378204942,5.052101659,0,0,1,1.159325106,-6.626918288,-1.202140901,0,0
5.026747648,8.771746677,-1.762558084,0,0,0,0.115426472,-0.876336601,3.11320758,0,0
6.764816672,2.929616897,8.00912338,0,1,1,-0.995040969,-0.327706222,1.297154481,0,0
1.680851738,5.903173071,2.794545836,1,1,1,1.853349997,-1.244609061,0.504287624,0,0
3.346996205,8.989929368,8.126982443,1,0,1,-0.30788732,0.85897215,-3.910117498,0,0
4.233469385,5.933540621,4.684205428,0,1,1,1.283332041,0.313976932,0.951905928,0,0
6.097441726,8.242321973,0.208365105,1,1,0,-2.661669345,-1.298760917,-0.344263581,0,0
0.745726324,3.238353001,4.360650006,1,1,0,2.322420795,-1.103591033,-5.808884652,0,0
7.320721544,3.692261306,11.86746231,1,1,1,0.76311922,-0.559840823,0.733557655,0,0
4.948450864,1.861101697,4.29939522,0,0,0,-0.054891698,-0.962067925,-0.15749592,0,0
3.733710258,6.231062525,4.070943946,0,0,0,0.466112897,-1.767108514,0.148960697,0,0
4.819692938,5.947524523,0.967165773,1,1,1,-1.054868562,-1.56965718,1.453621796,0,0
-0.383662438,5.050147388,4.253798274,0,0,0,-0.43631179,0.691034354,1.036339361,0,0
5.244231181,3.502267437,2.151113523,0,0,0,-2.113970581,0.093415149,0.012316082,0,0
4.856387266,6.398801951,1.889221771,1,1,1,-1.418503524,-0.840916838,2.593378777,0,0
4.942990967,3.890747957,9.488363988,1,0,1,2.432112875,0.612408665,0.628865844,0,0
2.717432443,2.394444875,7.129521506,1,0,0,-1.859970908,-0.887537308,0.785406363,0,0
4.328476715,7.33542334,5.672521572,0,1,1,0.169788973,-0.082422553,0.883012308,0,0
5.287446588,1.82732219,10.38683948,0,1,0,-1.657414069,-2.445556112,-0.076559727,0,0
3.36988577,6.734589307,6.495594161,1,1,1,-0.861854733,-0.402662723,-1.261836778,0,0
3.350006289,3.919632578,8.377184722,1,1,1,-0.417537186,1.960613668,0.971587431,0,0
4.439401353,4.294119939,6.447501126,1,0,0,-2.652163382,-2.366340218,0.255349865,0,0
8.319682451,14.0878148,0.200639915,0,0,0,-1.126110602,-2.482293868,1.371130559,0,0
3.988888069,7.570683548,5.379115917,0,0,0,-5.211417002,0.528215068,-1.997123446,0,0
4.660837687,4.907819788,0.049588538,1,0,0,4.937171376,0.483228965,-1.33761519,0,0
2.507480955,5.268555662,5.652276229,1,1,1,-1.686630317,2.476355124,3.081023641,0,0
3.631892395,3.316534954,5.748374811,0,1,1,0.361035512,1.193924775,-0.40662614,0,0
9.625261636,2.532279466,5.757310397,0,1,1,0.838493238,0.72956132,-0.535421492,0,0
6.049049959,10.34135595,4.997636905,0,0,1,1.124665889,2.529718098,-1.423639076,0,0
3.200938812,2.72481607,7.231506608,1,0,1,1.830123436,2.741415555,3.2079484,1,1
8.018815311,4.374042739,6.246817419,0,0,0,-2.65926413,-2.374391259,-2.254304234,0,0
9.288294322,7.425207422,3.40715549,0,1,0,0.863662992,-1.235894026,0.165538232,0,0
6.512683577,5.592181586,3.656249891,1,1,1,0.051777876,-1.444769147,0.462989839,0,0
4.851993624,9.77315568,5.650103671,1,0,0,0.59179751,0.138012006,0.088170829,0,0
1.585000009,1.6953599,5.679120984,0,0,0,0.364573058,0.994493885,2.435318717,0,0
0.821652881,14.25384289,5.83455738,0,0,1,-1.109664769,4.10427944,0.291020176,0,0
8.153898895,10.25039698,3.489290402,0,0,0,0.584874909,0.684420829,-2.978772172,0,0
9.079036881,9.856673929,4.698740508,1,0,1,0.200908105,2.733812251,1.709491284,0,0
4.137366902,0.048320539,9.53987689,0,1,1,0.520592096,-1.670369251,-1.939629526,0,0
5.827752881,7.145028217,4.7579601,1,0,0,1.364355457,1.367466263,-0.532366032,0,0
3.873814763,4.279056778,4.219968423,1,0,1,-0.073762705,-1.464524821,-2.685685322,0,0
3.63039742,-1.052815136,6.579430525,1,1,1,0.137666632,-0.220367161,0.374668516,0,0
3.502822888,1.71753726,5.745508761,1,1,0,-1.267651593,1.372570726,-2.592644248,0,0
1.69190929,11.14218066,7.714686381,0,0,1,-2.229000737,-0.351348456,-0.345053272,0,0
5.048101112,5.895290324,1.635918523,0,1,1,-0.767040188,-0.363746356,-1.538725412,0,0
7.713949548,5.757561376,2.241681928,0,1,1,0.546406071,-4.069536077,-0.226373224,0,0
0.895962253,2.73802275,6.66315777,1,0,1,0.614170396,-4.672178476,-0.126047337,0,0
5.792782642,2.373974106,13.80740289,1,1,0,0.764651399,-1.572123875,0.032446464,0,0
1.772386356,8.350935209,9.55833537,0,1,0,-1.663778241,1.064281359,-0.529878778,0,0
6.205231946,2.27268265,7.399592664,0,1,0,-0.318815795,-0.221590632,-0.329688882,0,0
10.0447358,4.261903953,6.505160362,0,1,1,0.504604766,1.306199059,-3.540837166,0,0
5.445069623,6.044188565,5.721936966,1,1,1,-1.014262521,0.33300245,-0.252088315,0,0
4.13344189,2.986650296,7.722399253,0,0,1,-1.000258542,-4.369004954,0.733259011,0,0
0.661149051,4.336096806,10.30863692,0,1,0,-2.564956488,-1.096557551,-1.716383102,0,0
7.413544921,5.013935313,7.534972998,1,1,1,-2.630545743,2.684802229,0.058220447,0,0
0.809047012,3.270074119,7.803794444,1,1,1,1.550149312,-2.696178355,-2.2955933,0,0
8.476932487,1.209635254,10.08708528,0,1,1,-3.268562358,-1.145579262,0.080366937,0,0
4.440278931,0.493307872,4.801009483,0,1,0,-0.306784264,1.411530168,-0.518213669,0,0
7.806775935,12.09157795,6.770759345,0,0,0,-1.881686636,0.845565578,1.387113215,0,0
5.192338962,1.91191396,5.52688691,0,0,0,3.209714356,0.124224726,1.738151448,0,0
5.200573822,3.685985939,6.426422202,0,0,0,-0.193462971,-0.090187103,0.806610741,0,0
7.461656836,5.601508029,6.568835826,0,1,1,0.674341617,1.014935989,-1.937028455,0,0
13.21368391,9.75344731,3.43815359,1,1,1,0.733796483,1.54847613,-0.473175856,0,0
4.883910315,5.298168392,5.195064288,1,1,0,0.415858116,1.594588308,1.930106571,0,0
2.930128149,3.220712711,3.006260012,0,0,0,0.657816152,-0.986870078,-0.565067326,0,0
7.940591892,5.908043091,2.106130225,1,1,1,0.603953155,0.524159053,-3.236617733,0,0
1.361442168,7.183199823,4.554053255,0,0,1,-1.33175956,-0.929459781,-1.33920105,0,0
2.887078639,1.591848136,5.051572661,1,0,1,1.458162455,-0.615830004,1.566349634,0,0
2.357541191,3.989846196,10.92320186,0,1,1,-1.042272672,0.0362386,-2.038918907,0,0
-1.20711962,0.164777169,8.060763989,1,1,1,-1.891357421,-2.442268542,-0.424450072,0,0
1.328085196,5.186203094,6.72219823,1,0,0,-2.965216557,0.13940894,0.258309118,0,0
2.522046787,8.409958984,3.082813799,0,1,0,7.997299755,-0.113514531,0.799744097,0,0
-0.196662009,5.445727572,4.759217105,0,1,1,-0.386478798,-3.171238811,-2.519822144,0,0
6.440054056,7.993523903,11.94001231,1,0,1,-0.167348075,0.717090013,-1.591482308,0,0
3.843933303,8.158089903,10.70972691,0,0,1,-1.384856747,-0.136375337,-0.60786677,0,0
5.561735898,3.087462244,4.28473492,1,0,0,0.954864737,-0.062668854,1.518195562,0,0
8.343955765,2.044122766,2.784444608,1,0,1,-0.122697283,-2.038416803,1.14606524,0,0
1.057620194,1.674387108,2.533381085,1,0,1,-1.714743871,-0.587839442,3.673325578,1,0
